InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID,TotalAmount
INV334053,PROD008,1,2023-05-06,37.21,C0328,37.21
INV191161,PROD048,4,2023-10-07,34.0,C0072,136.0
INV343962,PROD028,2,2023-04-22,1.97,C0303,3.94
INV835392,PROD039,1,2023-11-29,28.28,C0259,28.28
INV948749,PROD027,8,2023-05-23,22.74,C0280,181.92
INV391369,PROD001,6,2023-06-24,35.06,C0446,210.36
INV201414,PROD014,11,2023-07-14,5.56,C0080,61.16
INV865179,PROD023,20,2023-01-23,13.59,C0184,271.8
INV182627,PROD035,4,2023-07-13,48.67,C0236,194.68
INV705397,PROD019,20,2023-07-05,44.33,C0283,886.5999999999999
INV910620,PROD046,3,2023-04-27,2.77,C0099,8.31
INV391476,PROD006,8,2023-07-14,43.39,C0149,347.12
INV319684,PROD041,12,2023-07-01,8.55,C0233,102.60000000000001
INV660086,PROD018,3,2023-03-29,30.65,C0344,91.94999999999999
INV771088,PROD016,6,2023-05-19,23.38,C0374,140.28
INV340174,PROD036,8,2023-01-29,34.39,C0353,275.12
INV321231,PROD003,11,2023-02-03,20.36,C0421,223.95999999999998
INV514850,PROD037,11,2023-09-13,11.03,C0468,121.33
INV358607,PROD042,15,2023-03-13,7.57,C0453,113.55000000000001
INV549245,PROD036,18,2023-10-27,13.51,C0382,243.18
INV634277,PROD038,13,2023-03-12,18.42,C0460,239.46000000000004
INV757924,PROD006,2,2023-03-20,43.12,C0253,86.24
INV500156,PROD044,14,2023-07-17,30.02,C0082,420.28
INV112038,PROD030,17,2023-10-11,12.94,C0306,219.98
INV887352,PROD047,4,2023-10-02,34.24,C0349,136.96
INV265840,PROD042,11,2023-08-11,6.02,C0137,66.22
INV632342,PROD001,9,2023-04-02,48.61,C0233,437.49
INV738551,PROD007,10,2023-09-17,42.16,C0468,421.59999999999997
INV916449,PROD010,12,2023-10-04,38.24,C0102,458.88
INV120422,PROD034,1,2023-09-08,30.15,C0473,30.15
INV694916,PROD024,10,2023-05-04,12.35,C0058,123.5
INV897549,PROD006,3,2023-02-05,36.73,C0485,110.19
INV273148,PROD009,5,2023-10-09,33.16,C0273,165.79999999999998
INV665492,PROD034,20,2023-04-19,21.45,C0136,429.0
INV804314,PROD047,7,2023-07-24,35.79,C0387,250.53
INV226882,PROD024,15,2023-08-20,45.03,C0333,675.45
INV680828,PROD015,3,2023-10-29,17.24,C0127,51.72
INV761759,PROD038,8,2023-12-29,0.86,C0118,6.88
INV174299,PROD015,3,2023-06-19,45.32,C0031,135.96
INV665427,PROD016,9,2023-04-20,33.61,C0264,302.49
INV922733,PROD047,19,2023-05-05,29.02,C0068,551.38
INV551989,PROD027,7,2023-12-04,5.17,C0243,36.19
INV806073,PROD028,14,2023-01-28,23.62,C0182,330.68
INV939482,PROD042,4,2023-06-23,3.5,C0335,14.0
INV570405,PROD007,8,2023-10-02,9.98,C0442,79.84
INV179046,PROD028,6,2023-05-08,14.29,C0072,85.74
INV976638,PROD036,4,2023-10-04,3.0,C0227,12.0
INV604740,PROD006,8,2023-09-06,8.73,C0008,69.84
INV509386,PROD026,2,2023-01-02,8.65,C0110,17.3
INV794022,PROD030,10,2023-10-12,21.44,C0136,214.4
INV161324,PROD032,5,2023-04-22,9.9,C0368,49.5
INV159942,PROD048,18,2023-06-10,3.52,C0297,63.36
INV265080,PROD038,16,2023-09-29,25.39,C0026,406.24
INV723939,PROD033,3,2023-02-05,42.64,C0030,127.92
INV358175,PROD044,8,2023-10-19,20.49,C0035,163.92
INV789305,PROD039,2,2023-08-03,31.16,C0297,62.32
INV314181,PROD037,17,2023-05-14,16.16,C0299,274.72
INV237235,PROD046,11,2023-07-22,12.31,C0343,135.41
INV109767,PROD042,10,2023-02-07,23.13,C0344,231.29999999999998
INV663750,PROD040,19,2023-02-07,49.81,C0235,946.3900000000001
INV172132,PROD033,9,2023-06-28,7.06,C0110,63.54
INV974244,PROD016,12,2023-08-13,14.61,C0451,175.32
INV654634,PROD046,10,2023-12-01,30.78,C0279,307.8
INV208618,PROD043,18,2023-12-06,15.32,C0005,275.76
INV878480,PROD009,9,2023-02-24,6.21,C0481,55.89
INV852470,PROD010,9,2023-04-18,14.45,C0284,130.04999999999998
INV987204,PROD014,9,2023-05-09,25.52,C0176,229.68
INV103717,PROD006,14,2023-01-23,41.55,C0027,581.6999999999999
INV678478,PROD009,9,2023-08-15,8.5,C0171,76.5
INV824586,PROD028,18,2023-02-08,0.98,C0362,17.64
INV710805,PROD010,18,2023-07-09,2.28,C0463,41.04
INV482364,PROD010,14,2023-06-07,6.81,C0283,95.33999999999999
INV799330,PROD003,12,2023-05-08,10.9,C0461,130.8
INV750810,PROD023,18,2023-07-28,44.26,C0053,796.68
INV532322,PROD010,8,2023-04-01,43.3,C0384,346.4
INV941204,PROD012,11,2023-07-30,39.23,C0013,431.53
INV213346,PROD048,8,2023-12-26,13.71,C0343,109.68
INV466643,PROD003,16,2023-08-24,11.51,C0196,184.16
INV517821,PROD015,8,2023-04-09,1.67,C0157,13.36
INV468203,PROD018,3,2023-05-23,48.36,C0169,145.07999999999998
INV447235,PROD033,13,2023-10-02,34.14,C0329,443.82
INV287241,PROD002,4,2023-05-14,43.91,C0481,175.64
INV462479,PROD017,2,2023-08-11,5.87,C0298,11.74
INV221263,PROD021,14,2023-09-19,30.51,C0374,427.14000000000004
INV557239,PROD037,7,2023-12-29,13.11,C0198,91.77
INV306606,PROD034,18,2023-12-10,34.5,C0001,621.0
INV753425,PROD028,3,2023-06-19,47.47,C0187,142.41
INV631756,PROD043,4,2023-06-03,36.13,C0161,144.52
INV410016,PROD043,14,2023-12-23,16.65,C0159,233.09999999999997
INV810219,PROD009,7,2023-07-14,21.31,C0284,149.17
INV674553,PROD012,20,2023-07-27,28.67,C0384,573.4000000000001
INV923927,PROD001,10,2023-08-09,14.7,C0427,147.0
INV808446,PROD039,11,2023-08-15,23.52,C0297,258.71999999999997
INV790855,PROD033,16,2023-03-28,39.79,C0110,636.64
INV451470,PROD019,17,2023-11-14,33.36,C0044,567.12
INV945742,PROD049,8,2023-04-26,33.8,C0048,270.4
INV740967,PROD010,1,2023-09-01,2.79,C0102,2.79
INV703634,PROD005,15,2023-11-19,21.01,C0436,315.15000000000003
INV254739,PROD046,13,2023-05-05,24.97,C0100,324.61
INV916232,PROD045,1,2023-02-24,44.69,C0336,44.69
INV643118,PROD015,6,2023-12-23,40.3,C0218,241.79999999999998
INV578634,PROD004,18,2023-03-04,12.84,C0238,231.12
INV432711,PROD030,17,2023-11-01,49.4,C0069,839.8
INV547470,PROD049,15,2023-09-16,30.83,C0487,462.45
INV571932,PROD036,15,2023-09-01,44.91,C0426,673.65
INV903013,PROD049,8,2023-05-22,42.07,C0133,336.56
INV561239,PROD034,16,2023-05-21,31.52,C0399,504.32
INV435239,PROD046,10,2023-06-21,12.11,C0040,121.1
INV501641,PROD035,3,2023-04-29,7.35,C0458,22.049999999999997
INV446954,PROD010,7,2023-07-28,3.68,C0356,25.76
INV508396,PROD030,14,2023-08-04,3.58,C0278,50.120000000000005
INV498858,PROD038,1,2023-10-22,42.91,C0464,42.91
INV994905,PROD001,12,2023-07-19,15.28,C0245,183.35999999999999
INV938722,PROD027,18,2023-10-07,37.5,C0457,675.0
INV609232,PROD015,16,2023-08-12,11.36,C0309,181.76
INV859359,PROD025,11,2023-07-27,33.61,C0015,369.71
INV128276,PROD030,5,2023-10-01,49.05,C0085,245.25
INV188025,PROD026,19,2023-01-14,28.44,C0465,540.36
INV152727,PROD028,5,2023-04-04,43.41,C0330,217.04999999999998
INV453894,PROD025,11,2023-06-17,10.98,C0134,120.78
INV364525,PROD025,9,2023-08-04,37.72,C0390,339.48
INV154615,PROD006,16,2023-10-04,1.46,C0428,23.36
INV142213,PROD023,8,2023-11-30,32.68,C0488,261.44
INV751517,PROD002,8,2023-01-11,10.37,C0387,82.96
INV691364,PROD016,5,2023-02-28,23.94,C0079,119.7
INV275939,PROD014,15,2023-07-08,35.12,C0486,526.8
INV426147,PROD039,4,2023-03-25,39.0,C0311,156.0
INV810250,PROD038,1,2023-10-22,46.48,C0056,46.48
INV179688,PROD025,13,2023-04-12,47.1,C0465,612.3000000000001
INV991597,PROD045,8,2023-06-04,5.54,C0304,44.32
INV920652,PROD039,4,2023-10-17,39.91,C0351,159.64
INV172306,PROD023,18,2023-07-09,21.7,C0022,390.59999999999997
INV962276,PROD042,11,2023-08-04,1.13,C0260,12.43
INV968962,PROD007,14,2023-11-22,48.06,C0251,672.84
INV782054,PROD046,5,2023-09-25,22.06,C0236,110.3
INV556732,PROD040,18,2023-08-27,38.84,C0139,699.1200000000001
INV971084,PROD047,19,2023-05-06,13.79,C0423,262.01
INV886931,PROD006,9,2023-05-05,44.14,C0479,397.26
INV130094,PROD037,20,2023-06-22,33.58,C0238,671.5999999999999
INV936587,PROD021,6,2023-07-01,24.63,C0254,147.78
INV389688,PROD022,9,2023-12-26,44.08,C0133,396.71999999999997
INV353080,PROD001,17,2023-02-13,47.43,C0285,806.31
INV824156,PROD027,16,2023-05-04,27.98,C0369,447.68
INV197573,PROD042,16,2023-01-09,22.68,C0244,362.88
INV796212,PROD015,13,2023-06-06,34.74,C0151,451.62
INV546173,PROD024,16,2023-06-26,27.9,C0298,446.4
INV384076,PROD036,11,2023-08-21,17.91,C0382,197.01
INV430876,PROD017,8,2023-04-09,6.47,C0157,51.76
INV294143,PROD048,18,2023-12-20,47.57,C0062,856.26
INV897135,PROD014,16,2023-10-29,14.19,C0099,227.04
INV410636,PROD039,10,2023-04-10,49.04,C0269,490.4
INV660081,PROD024,6,2023-12-29,15.46,C0117,92.76
INV406327,PROD018,2,2023-10-11,48.73,C0065,97.46
INV701949,PROD009,16,2023-01-07,5.58,C0358,89.28
INV153872,PROD031,16,2023-04-05,22.3,C0146,356.8
INV615633,PROD031,4,2023-07-25,41.19,C0130,164.76
INV418594,PROD037,2,2023-10-16,8.01,C0038,16.02
INV735770,PROD016,4,2023-08-02,28.12,C0044,112.48
INV572398,PROD040,8,2023-07-14,38.9,C0306,311.2
INV420214,PROD029,10,2023-08-08,43.08,C0466,430.79999999999995
INV899787,PROD040,2,2023-02-20,30.68,C0292,61.36
INV264686,PROD041,7,2023-02-11,13.6,C0107,95.2
INV528361,PROD012,18,2023-01-02,4.22,C0123,75.96
INV342720,PROD045,20,2023-01-17,23.76,C0231,475.20000000000005
INV174637,PROD046,10,2023-08-21,35.3,C0148,353.0
INV718439,PROD015,9,2023-11-17,39.5,C0352,355.5
INV779094,PROD013,14,2023-04-26,6.18,C0339,86.52
INV931131,PROD018,5,2023-03-26,4.03,C0077,20.150000000000002
INV230394,PROD039,19,2023-08-13,46.1,C0158,875.9
INV624783,PROD045,10,2023-05-20,35.14,C0240,351.4
INV553014,PROD032,15,2023-01-21,4.48,C0277,67.2
INV340044,PROD021,20,2023-02-16,12.89,C0377,257.8
INV901909,PROD044,19,2023-01-11,29.56,C0493,561.64
INV593355,PROD018,19,2023-03-31,2.49,C0345,47.31
INV713762,PROD042,15,2023-04-03,45.85,C0266,687.75
INV464863,PROD041,16,2023-08-29,48.47,C0224,775.52
INV445824,PROD022,11,2023-03-24,33.67,C0210,370.37
INV953085,PROD045,16,2023-07-25,14.77,C0211,236.32
INV364659,PROD036,2,2023-06-11,23.01,C0390,46.02
INV789606,PROD008,13,2023-01-01,43.31,C0166,563.03
INV643623,PROD035,15,2023-04-07,20.96,C0446,314.40000000000003
INV313446,PROD040,16,2023-01-27,31.46,C0186,503.36
INV832168,PROD036,5,2023-08-13,46.42,C0137,232.10000000000002
INV938141,PROD008,1,2023-11-08,48.67,C0249,48.67
INV679077,PROD046,6,2023-01-08,15.88,C0123,95.28
INV583863,PROD006,8,2023-02-28,49.62,C0209,396.96
INV633590,PROD008,5,2023-05-30,25.17,C0485,125.85000000000001
INV355570,PROD018,14,2023-08-30,41.82,C0362,585.48
INV632929,PROD036,5,2023-11-03,19.49,C0234,97.44999999999999
INV456385,PROD009,3,2023-08-01,14.17,C0383,42.51
INV861319,PROD033,9,2023-05-25,41.12,C0479,370.08
INV255813,PROD038,19,2023-09-08,49.95,C0153,949.0500000000001
INV899929,PROD035,16,2023-10-10,17.58,C0229,281.28
INV831380,PROD025,15,2023-04-07,46.68,C0279,700.2
INV145767,PROD037,13,2023-07-30,12.06,C0123,156.78
INV504832,PROD048,16,2023-07-15,35.41,C0163,566.56
INV232378,PROD042,5,2023-01-19,25.02,C0340,125.1
INV204555,PROD038,11,2023-08-14,43.55,C0258,479.04999999999995
INV786587,PROD030,1,2023-07-29,36.26,C0270,36.26
INV455007,PROD010,3,2023-05-16,23.74,C0497,71.22
INV993744,PROD045,13,2023-06-18,32.67,C0320,424.71000000000004
INV853629,PROD035,13,2023-11-17,47.73,C0346,620.49
INV747453,PROD049,16,2023-01-19,43.68,C0455,698.88
INV555052,PROD016,10,2023-02-16,49.87,C0036,498.7
INV414012,PROD049,4,2023-12-22,22.46,C0051,89.84
INV407618,PROD002,2,2023-01-29,16.56,C0463,33.12
INV532067,PROD024,14,2023-09-29,7.71,C0184,107.94
INV739098,PROD044,6,2023-02-10,8.91,C0290,53.46
INV711484,PROD025,20,2023-09-12,34.32,C0446,686.4
INV367729,PROD015,15,2023-08-24,32.08,C0074,481.2
INV673149,PROD001,15,2023-12-13,45.11,C0342,676.65
INV413685,PROD005,15,2023-10-28,47.29,C0081,709.35
INV308894,PROD028,9,2023-06-04,23.11,C0328,207.99
INV476395,PROD031,4,2023-10-20,12.24,C0197,48.96
INV515032,PROD019,10,2023-12-04,1.59,C0295,15.9
INV735863,PROD001,19,2023-01-26,43.32,C0141,823.08
INV736553,PROD032,10,2023-04-28,38.9,C0382,389.0
INV362801,PROD023,8,2023-11-14,32.01,C0411,256.08
INV777737,PROD049,5,2023-11-18,31.6,C0348,158.0
INV867934,PROD020,15,2023-07-06,2.15,C0021,32.25
